Fact,BLC,Subject,Lesson,SOF_unknown,prior_knowledge
Bangladesh,-1.452157,83678,Asian Flags,0.151,0
South%20Korea,-1.012014,83678,Asian Flags,0.151,1
Hong%20Kong,-1.113443,83678,Asian Flags,0.151,1
Japan,-1.141164,83678,Asian Flags,0.151,1
Saudi%20Arabia,-1.161309,83678,Asian Flags,0.151,1
Maldives,-1.289001,83678,Asian Flags,0.151,0
Philippines,-1.045442,83678,Asian Flags,0.151,1
China,-1.112503,83678,Asian Flags,0.151,1
Sri%20Lanka,-1.356023,83678,Asian Flags,0.151,0
Vietnam,-1.174479,83678,Asian Flags,0.151,1
Nepal,-1.287997,83678,Asian Flags,0.151,0
Singapore,-1.321154,83678,Asian Flags,0.151,0
India,-0.965752,83678,Asian Flags,0.151,1
Taiwan,-0.99751,83678,Asian Flags,0.151,1
Thailand,-1.344305,83678,Asian Flags,0.151,0
Grenada,-0.939541,83678,Caribbean Flags,0.15,0
Martinique,-0.683679,83678,Caribbean Flags,0.15,0
Dominica,-1.451208,83678,Caribbean Flags,0.15,0
Montserrat,-0.994205,83678,Caribbean Flags,0.15,0
Bahamas,-0.964421,83678,Caribbean Flags,0.15,0
Haiti,-0.916154,83678,Caribbean Flags,0.15,0
Jamaica,-0.788614,83678,Caribbean Flags,0.15,1
Bonaire,-0.941776,83678,Caribbean Flags,0.15,0
Barbados,-0.927666,83678,Caribbean Flags,0.15,0
St%20Lucia,-1.690721,83678,Caribbean Flags,0.15,0
Anguilla,-1.504737,83678,Caribbean Flags,0.15,0
St%20Kitts%20and%20Nevis,-0.704675,83678,Caribbean Flags,0.15,0
Aruba,-1.229587,83678,Caribbean Flags,0.15,0
Trinidad,-1.14252,83678,Caribbean Flags,0.15,0
Cuba,-1.126622,83678,Caribbean Flags,0.15,0
Bangladesh,-1.04683,83657,Asian Flags,0.153,0
South%20Korea,-0.830865,83657,Asian Flags,0.153,1
Hong%20Kong,-1.26165,83657,Asian Flags,0.153,0
Japan,-0.885926,83657,Asian Flags,0.153,1
Saudi%20Arabia,-1.092503,83657,Asian Flags,0.153,0
Maldives,-0.747565,83657,Asian Flags,0.153,0
Philippines,-1.086751,83657,Asian Flags,0.153,0
Nepal,-0.998375,83657,Asian Flags,0.153,1
Sri%20Lanka,-1.443279,83657,Asian Flags,0.153,0
China,-0.96655,83657,Asian Flags,0.153,1
Vietnam,-0.92897,83657,Asian Flags,0.153,0
Singapore,-1.788659,83657,Asian Flags,0.153,0
India,-0.86389,83657,Asian Flags,0.153,0
Taiwan,-0.63706,83657,Asian Flags,0.153,0
Thailand,-0.901919,83657,Asian Flags,0.153,0
Grenada,-1.084714,83657,Caribbean Flags,0.199,1
Martinique,-1.340947,83657,Caribbean Flags,0.199,0
Bahamas,-1.330225,83657,Caribbean Flags,0.199,0
Dominica,-1.347258,83657,Caribbean Flags,0.199,0
Montserrat,-1.157981,83657,Caribbean Flags,0.199,1
Haiti,-1.867213,83657,Caribbean Flags,0.199,0
Jamaica,-1.295508,83657,Caribbean Flags,0.199,0
Bonaire,-1.967149,83657,Caribbean Flags,0.199,0
Barbados,-1.212569,83657,Caribbean Flags,0.199,0
St%20Lucia,-1.567659,83657,Caribbean Flags,0.199,1
Anguilla,-1.320125,83657,Caribbean Flags,0.199,0
St%20Kitts%20and%20Nevis,-1.264338,83657,Caribbean Flags,0.199,0
Aruba,-1.315249,83657,Caribbean Flags,0.199,0
Trinidad,-1.180616,83657,Caribbean Flags,0.199,1
Cuba,-1.365236,83657,Caribbean Flags,0.199,0
Bangladesh,-1.429363,83659,Asian Flags,0.155,0
South%20Korea,-0.996573,83659,Asian Flags,0.155,1
Hong%20Kong,-1.375831,83659,Asian Flags,0.155,0
Japan,-0.769871,83659,Asian Flags,0.155,1
Saudi%20Arabia,-1.490195,83659,Asian Flags,0.155,0
Maldives,-1.386923,83659,Asian Flags,0.155,0
Philippines,-1.290804,83659,Asian Flags,0.155,0
Nepal,-0.872795,83659,Asian Flags,0.155,0
China,-0.675739,83659,Asian Flags,0.155,1
Vietnam,-1.359591,83659,Asian Flags,0.155,0
India,-1.009841,83659,Asian Flags,0.155,0
Singapore,-1.737564,83659,Asian Flags,0.155,0
Sri%20Lanka,-1.096636,83659,Asian Flags,0.155,0
Taiwan,-1.915191,83659,Asian Flags,0.155,0
Thailand,-1.498537,83659,Asian Flags,0.155,0
Bangladesh,-1.164151,83661,Asian Flags,0.155,1
South%20Korea,-1.120999,83661,Asian Flags,0.155,1
Hong%20Kong,-1.082392,83661,Asian Flags,0.155,1
Japan,-1.163699,83661,Asian Flags,0.155,1
Saudi%20Arabia,-1.277318,83661,Asian Flags,0.155,1
Maldives,-1.46914,83661,Asian Flags,0.155,0
Philippines,-1.256736,83661,Asian Flags,0.155,0
Vietnam,-1.433841,83661,Asian Flags,0.155,0
China,-1.221543,83661,Asian Flags,0.155,1
Nepal,-1.764301,83661,Asian Flags,0.155,1
India,-1.164064,83661,Asian Flags,0.155,1
Singapore,-1.106572,83661,Asian Flags,0.155,1
Sri%20Lanka,-1.374462,83661,Asian Flags,0.155,0
Taiwan,-1.243348,83661,Asian Flags,0.155,1
Thailand,-1.175864,83661,Asian Flags,0.155,1
Grenada,-1.00945,83661,Caribbean Flags,0.163,0
Martinique,-0.846133,83661,Caribbean Flags,0.163,0
Bahamas,-0.562997,83661,Caribbean Flags,0.163,0
Montserrat,-1.109321,83661,Caribbean Flags,0.163,0
Dominica,-2.36068,83661,Caribbean Flags,0.163,0
Haiti,-1.975503,83661,Caribbean Flags,0.163,0
Jamaica,-0.854675,83661,Caribbean Flags,0.163,1
Bonaire,-1.51293,83661,Caribbean Flags,0.163,0
Barbados,-1.469263,83661,Caribbean Flags,0.163,0
St%20Lucia,-0.498079,83661,Caribbean Flags,0.163,0
Anguilla,-1.507631,83661,Caribbean Flags,0.163,0
Aruba,-1.679006,83661,Caribbean Flags,0.163,0
St%20Kitts%20and%20Nevis,-0.755113,83661,Caribbean Flags,0.163,1
Trinidad,-0.629879,83661,Caribbean Flags,0.163,1
Cuba,-0.895637,83661,Caribbean Flags,0.163,1
Bangladesh,-1.060166,83664,Asian Flags,0.25,0
South%20Korea,-1.069287,83664,Asian Flags,0.25,0
Hong%20Kong,-1.887001,83664,Asian Flags,0.25,0
Japan,-0.270208,83664,Asian Flags,0.25,1
Saudi%20Arabia,-0.86703,83664,Asian Flags,0.25,0
Maldives,-2.988739,83664,Asian Flags,0.25,0
Philippines,-2.956845,83664,Asian Flags,0.25,0
Vietnam,-0.585092,83664,Asian Flags,0.25,0
Sri%20Lanka,-0.823932,83664,Asian Flags,0.25,0
Nepal,-3.516991,83664,Asian Flags,0.25,0
Singapore,-3.201376,83664,Asian Flags,0.25,0
India,-1.073783,83664,Asian Flags,0.25,0
Taiwan,-2.68599,83664,Asian Flags,0.25,0
Thailand,-2.528218,83664,Asian Flags,0.25,0
Grenada,-2.55149,83664,Caribbean Flags,0.25,0
Martinique,-2.8964,83664,Caribbean Flags,0.25,0
Bahamas,-2.533657,83664,Caribbean Flags,0.25,0
Montserrat,-3.570131,83664,Caribbean Flags,0.25,0
Dominica,-3.667421,83664,Caribbean Flags,0.25,0
Haiti,-2.61315,83664,Caribbean Flags,0.25,0
Jamaica,-0.821851,83664,Caribbean Flags,0.25,0
Bonaire,-2.565279,83664,Caribbean Flags,0.25,0
Barbados,-1.625172,83664,Caribbean Flags,0.25,0
Anguilla,-3.279653,83664,Caribbean Flags,0.25,0
Aruba,-1.078493,83664,Caribbean Flags,0.25,0
St%20Kitts%20and%20Nevis,-1.102133,83664,Caribbean Flags,0.25,0
Trinidad,-1.211319,83664,Caribbean Flags,0.25,0
Bangladesh,-0.720293,83670,Asian Flags,0.22,1
South%20Korea,-0.742946,83670,Asian Flags,0.22,1
Hong%20Kong,-1.437117,83670,Asian Flags,0.22,0
Japan,-0.966804,83670,Asian Flags,0.22,1
Saudi%20Arabia,-0.820433,83670,Asian Flags,0.22,0
Maldives,-2.544,83670,Asian Flags,0.22,0
Philippines,-1.402303,83670,Asian Flags,0.22,0
Vietnam,0.440592,83670,Asian Flags,0.22,1
China,-0.411227,83670,Asian Flags,0.22,1
Nepal,-1.373229,83670,Asian Flags,0.22,0
India,-0.698963,83670,Asian Flags,0.22,1
Singapore,-1.505809,83670,Asian Flags,0.22,0
Sri%20Lanka,-0.992457,83670,Asian Flags,0.22,0
Taiwan,-2.532018,83670,Asian Flags,0.22,0
Thailand,-3.041483,83670,Asian Flags,0.22,0
