,Fact,BLC,Subject,Lesson
0,Grenada,0.039953835117541435,83680,Caribbean Flags
1,Martinique,-0.16689764016814987,83680,Caribbean Flags
2,Bahamas,0.1353376401655218,83680,Caribbean Flags
3,Montserrat,0.3599520549412845,83680,Caribbean Flags
4,Dominica,-0.5516404106121414,83680,Caribbean Flags
5,Haiti,-0.11265338444312856,83680,Caribbean Flags
6,Jamaica,0.04172318648194274,83680,Caribbean Flags
7,Bonaire,0.3799361615191383,83680,Caribbean Flags
8,Barbados,1.5620753126468374,83680,Caribbean Flags
9,St%20Lucia,-0.22406283622944054,83680,Caribbean Flags
10,Anguilla,-0.22253220910876317,83680,Caribbean Flags
11,Aruba,0.3616153485929044,83680,Caribbean Flags
12,St%20Kitts%20and%20Nevis,-0.47537456423181534,83680,Caribbean Flags
13,Trinidad,0.5746118023605219,83680,Caribbean Flags
14,Cuba,0.23385725812227526,83680,Caribbean Flags
15,Bangladesh,-0.08444615756495419,83680,Asian Flags
16,South%20Korea,0.07580486795875409,83680,Asian Flags
17,Hong%20Kong,-0.3098294564577709,83680,Asian Flags
18,Japan,-0.39188845667697153,83680,Asian Flags
19,Saudi%20Arabia,-2.360679774997898,83680,Asian Flags
20,Maldives,0.2837792066414473,83680,Asian Flags
21,Philippines,0.1758887340168417,83680,Asian Flags
22,China,0.05559778696030085,83680,Asian Flags
23,Sri%20Lanka,-0.3368324001810835,83680,Asian Flags
24,Nepal,-2.360679774997898,83680,Asian Flags
25,Vietnam,0.21837412355698038,83680,Asian Flags
26,Singapore,2.671953267535397,83680,Asian Flags
27,India,0.46517324947448874,83680,Asian Flags
28,Taiwan,-0.3799312331165325,83680,Asian Flags
29,Thailand,1.0498125925531694,83680,Asian Flags
30,Grenada,-0.3151945690816697,83657,Caribbean Flags
31,Martinique,-0.49351027394679126,83657,Caribbean Flags
32,Bahamas,-0.40315549003879697,83657,Caribbean Flags
33,Dominica,-0.23173191211504715,83657,Caribbean Flags
34,Montserrat,-0.2120233598370901,83657,Caribbean Flags
35,Haiti,-0.5664680743680024,83657,Caribbean Flags
36,Jamaica,-0.36481423456535683,83657,Caribbean Flags
37,Bonaire,-0.5318831750062035,83657,Caribbean Flags
38,Barbados,-0.3379804249454469,83657,Caribbean Flags
39,St%20Lucia,-0.43497505449997026,83657,Caribbean Flags
40,Anguilla,-0.2029351105850569,83657,Caribbean Flags
41,St%20Kitts%20and%20Nevis,-0.38396987723150816,83657,Caribbean Flags
42,Aruba,-0.46369039207273927,83657,Caribbean Flags
43,Trinidad,-0.3223533919959741,83657,Caribbean Flags
44,Cuba,-0.337699276676157,83657,Caribbean Flags
45,Bangladesh,-0.327132281743063,83657,Asian Flags
46,South%20Korea,-0.3669523079397737,83657,Asian Flags
47,Hong%20Kong,-0.4943729008184481,83657,Asian Flags
48,Japan,-0.3498774232841645,83657,Asian Flags
49,Saudi%20Arabia,-0.3937348113970882,83657,Asian Flags
50,Maldives,-0.1453329521416109,83657,Asian Flags
51,Philippines,-0.1807395537269034,83657,Asian Flags
52,Nepal,-0.37540614388688454,83657,Asian Flags
53,Sri%20Lanka,-0.4521513065659729,83657,Asian Flags
54,China,-0.320866278365744,83657,Asian Flags
55,Vietnam,-0.2533222145254571,83657,Asian Flags
56,Singapore,-0.4906660049360643,83657,Asian Flags
57,India,-0.40659231875517954,83657,Asian Flags
58,Taiwan,0.30874122368093515,83657,Asian Flags
59,Thailand,-0.2685145655989856,83657,Asian Flags
60,Grenada,0.07711475143992906,83658,Caribbean Flags
61,Martinique,0.06438857252241023,83658,Caribbean Flags
62,Dominica,-0.20547131563849005,83658,Caribbean Flags
63,Montserrat,-0.2558804284328003,83658,Caribbean Flags
64,Bahamas,0.06765845541486051,83658,Caribbean Flags
65,Haiti,-2.360679774997898,83658,Caribbean Flags
66,Jamaica,-0.10753376624696974,83658,Caribbean Flags
67,Bonaire,0.17219085332716144,83658,Caribbean Flags
68,Barbados,-0.15991320579019225,83658,Caribbean Flags
69,St%20Lucia,-0.3382219174434596,83658,Caribbean Flags
70,Anguilla,-0.09370868241638884,83658,Caribbean Flags
71,St%20Kitts%20and%20Nevis,0.68445059704459,83658,Caribbean Flags
72,Aruba,0.19850439605261527,83658,Caribbean Flags
73,Trinidad,-0.10511961781115783,83658,Caribbean Flags
74,Cuba,-0.2661001156294419,83658,Caribbean Flags
75,Bangladesh,0.28185648737011415,83658,Asian Flags
76,South%20Korea,-0.22699520076894347,83658,Asian Flags
77,Hong%20Kong,0.15661030818197022,83658,Asian Flags
78,Japan,0.0707295485366336,83658,Asian Flags
79,Saudi%20Arabia,-0.513349142442733,83658,Asian Flags
80,Maldives,0.02224486093684962,83658,Asian Flags
81,Philippines,0.6144735052749911,83658,Asian Flags
82,China,0.10838192505192182,83658,Asian Flags
83,Sri%20Lanka,-0.03715867022127959,83658,Asian Flags
84,Vietnam,1.0111394287503976,83658,Asian Flags
85,Nepal,-0.03321015452332604,83658,Asian Flags
86,Singapore,1.280000055108637,83658,Asian Flags
87,India,-0.3572717914142181,83658,Asian Flags
88,Taiwan,0.1734503058022668,83658,Asian Flags
89,Thailand,1.168564094396695,83658,Asian Flags
90,Grenada,-0.5459092318171641,83659,Caribbean Flags
91,Martinique,-0.41942515020915466,83659,Caribbean Flags
92,Bahamas,-0.4766146964179189,83659,Caribbean Flags
93,Montserrat,-0.40281098577270996,83659,Caribbean Flags
94,Dominica,-0.6039529816127421,83659,Caribbean Flags
95,Haiti,-0.2529880833287962,83659,Caribbean Flags
96,Jamaica,-0.5333792912952076,83659,Caribbean Flags
97,Bonaire,-2.360679774997898,83659,Caribbean Flags
