,Fact,BLC,Subject,Lesson
0,Montserrat,0.7366250860274958,83680,Caribbean Flags
1,St%20Lucia,0.1526101694832061,83680,Caribbean Flags
2,Dominica,-0.17496739659621857,83680,Caribbean Flags
3,Haiti,0.26401963962726915,83680,Caribbean Flags
4,Jamaica,0.41839620178379433,83680,Caribbean Flags
5,Grenada,0.4166268187832382,83680,Caribbean Flags
6,Anguilla,0.1541408001482325,83680,Caribbean Flags
7,Cuba,0.6105302682943324,83680,Caribbean Flags
8,Trinidad,0.9512848137081495,83680,Caribbean Flags
9,Bahamas,0.512010648608973,83680,Caribbean Flags
10,Aruba,0.7382883321634834,83680,Caribbean Flags
11,St%20Kitts%20and%20Nevis,-0.09870155366114608,83680,Caribbean Flags
12,Bonaire,0.7566091479673529,83680,Caribbean Flags
13,Martinique,0.2097753866938282,83680,Caribbean Flags
14,Barbados,1.938748305472189,83680,Caribbean Flags
15,Montserrat,0.8079947087139883,83680,Caribbean Flags
16,St%20Lucia,0.22397979491611458,83680,Caribbean Flags
17,Dominica,-0.10359775400104579,83680,Caribbean Flags
18,Haiti,0.335389258020413,83680,Caribbean Flags
19,Jamaica,0.48976582753064524,83680,Caribbean Flags
20,Grenada,0.48799646834004123,83680,Caribbean Flags
21,Anguilla,0.22551043629503417,83680,Caribbean Flags
22,Cuba,0.681899872246494,83680,Caribbean Flags
23,Trinidad,1.0226544365674042,83680,Caribbean Flags
24,Bahamas,0.5833802937981811,83680,Caribbean Flags
25,Aruba,0.8096579766848762,83680,Caribbean Flags
26,St%20Kitts%20and%20Nevis,-0.027331930886973794,83680,Caribbean Flags
27,Bonaire,0.8279787994856941,83680,Caribbean Flags
28,Martinique,0.28114500479671223,83680,Caribbean Flags
29,Barbados,2.010117889029303,83680,Caribbean Flags
30,Montserrat,0.3029283044787431,83657,Caribbean Flags
31,St%20Lucia,0.07997659661453639,83657,Caribbean Flags
32,Dominica,0.2832197438221527,83657,Caribbean Flags
33,Haiti,-0.05151642095845135,83657,Caribbean Flags
34,Jamaica,0.1501374192507238,83657,Caribbean Flags
35,Grenada,0.19975708754591373,83657,Caribbean Flags
36,Anguilla,0.31201656341239575,83657,Caribbean Flags
37,Cuba,0.1772523730665015,83657,Caribbean Flags
38,Bonaire,-0.016931527908671695,83657,Caribbean Flags
39,Bahamas,0.11179615496755003,83657,Caribbean Flags
40,St%20Kitts%20and%20Nevis,0.13098177707640044,83657,Caribbean Flags
41,Martinique,0.021441378044102583,83657,Caribbean Flags
42,Trinidad,0.19259826606193803,83657,Caribbean Flags
43,Barbados,0.1769712209683352,83657,Caribbean Flags
44,Aruba,0.05126128674008596,83657,Caribbean Flags
45,Montserrat,0.535870814798588,83657,Caribbean Flags
46,St%20Lucia,0.3129191115157308,83657,Caribbean Flags
47,Dominica,0.5161622632410563,83657,Caribbean Flags
48,Haiti,0.1814260912235504,83657,Caribbean Flags
49,Jamaica,0.38307993754295905,83657,Caribbean Flags
50,Grenada,0.43269960341036523,83657,Caribbean Flags
51,Anguilla,0.5449590687489891,83657,Caribbean Flags
52,Cuba,0.4101948879932371,83657,Caribbean Flags
53,Bonaire,0.21601099503828491,83657,Caribbean Flags
54,Bahamas,0.34473868419636144,83657,Caribbean Flags
55,St%20Kitts%20and%20Nevis,0.36392431147066867,83657,Caribbean Flags
56,Martinique,0.25438389206666634,83657,Caribbean Flags
57,Trinidad,0.42554079063470657,83657,Caribbean Flags
58,Barbados,0.40991374107685,83657,Caribbean Flags
59,Aruba,0.2842037979961025,83657,Caribbean Flags
60,Montserrat,-0.019567677935752113,83658,Caribbean Flags
61,St%20Lucia,-0.10190915259125513,83658,Caribbean Flags
62,Dominica,0.030841437200360762,83658,Caribbean Flags
63,Haiti,-2.360679774997898,83658,Caribbean Flags
64,Jamaica,0.1287789944566745,83658,Caribbean Flags
65,Grenada,0.3134275201983139,83658,Caribbean Flags
66,Anguilla,0.14260405446722296,83658,Caribbean Flags
67,Cuba,-0.029787358724036678,83658,Caribbean Flags
68,Trinidad,0.13119314940063634,83658,Caribbean Flags
69,St%20Kitts%20and%20Nevis,0.9207633824671245,83658,Caribbean Flags
70,Bonaire,0.40850366514180786,83658,Caribbean Flags
71,Martinique,0.3007013660225883,83658,Caribbean Flags
72,Bahamas,0.3039712074326079,83658,Caribbean Flags
73,Barbados,0.07639954798695257,83658,Caribbean Flags
74,Aruba,0.4348170467263436,83658,Caribbean Flags
75,Montserrat,0.09660617561967784,83658,Caribbean Flags
76,St%20Lucia,0.014264761362691919,83658,Caribbean Flags
77,Dominica,0.1470153407703699,83658,Caribbean Flags
78,Haiti,-2.360679774997898,83658,Caribbean Flags
79,Jamaica,0.2449528804337492,83658,Caribbean Flags
80,Grenada,0.42960139376479795,83658,Caribbean Flags
81,Anguilla,0.2587779074043904,83658,Caribbean Flags
82,Cuba,0.08638652706517289,83658,Caribbean Flags
83,Trinidad,0.24736702797874618,83658,Caribbean Flags
84,St%20Kitts%20and%20Nevis,1.0369372022719867,83658,Caribbean Flags
85,Bonaire,0.5246775135153838,83658,Caribbean Flags
86,Martinique,0.4168751926490129,83658,Caribbean Flags
87,Bahamas,0.42014509420408824,83658,Caribbean Flags
88,Barbados,0.19257342656536872,83658,Caribbean Flags
89,Aruba,0.5509909325723978,83658,Caribbean Flags
90,Montserrat,-2.360679774997898,83659,Caribbean Flags
91,St%20Lucia,-2.360679774997898,83659,Caribbean Flags
92,Dominica,-2.360679774997898,83659,Caribbean Flags
93,Haiti,-2.360679774997898,83659,Caribbean Flags
94,Jamaica,-2.360679774997898,83659,Caribbean Flags
95,Grenada,-2.360679774997898,83659,Caribbean Flags
96,Anguilla,-2.360679774997898,83659,Caribbean Flags
97,Cuba,-2.360679774997898,83659,Caribbean Flags
98,Trinidad,-2.360679774997898,83659,Caribbean Flags
99,Bahamas,-2.360679774997898,83659,Caribbean Flags
100,St%20Kitts%20and%20Nevis,-2.360679774997898,83659,Caribbean Flags
101,Bonaire,-2.360679774997898,83659,Caribbean Flags
102,Martinique,-2.360679774997898,83659,Caribbean Flags
103,Barbados,-2.360679774997898,83659,Caribbean Flags
104,Aruba,-2.360679774997898,83659,Caribbean Flags
105,Montserrat,0.3340142577203769,83659,Caribbean Flags
106,St%20Lucia,0.20735592042376558,83659,Caribbean Flags
107,Dominica,0.13287231422734894,83659,Caribbean Flags
108,Haiti,0.48383717032754564,83659,Caribbean Flags
109,Jamaica,0.20344598792110538,83659,Caribbean Flags
110,Grenada,0.1909160532712298,83659,Caribbean Flags
111,Anguilla,0.9031452477212143,83659,Caribbean Flags
112,Cuba,0.3866458976005612,83659,Caribbean Flags
113,Trinidad,0.15178596517606124,83659,Caribbean Flags
114,Bahamas,0.2602105706169964,83659,Caribbean Flags
115,St%20Kitts%20and%20Nevis,0.6089357343096966,83659,Caribbean Flags
116,Bonaire,-2.360679774997898,83659,Caribbean Flags
117,Martinique,0.3174001214305055,83659,Caribbean Flags
118,Barbados,0.33900875832065597,83659,Caribbean Flags
119,Aruba,0.21290672978134062,83659,Caribbean Flags
120,Montserrat,0.40439359778386674,83723,Caribbean Flags
121,St%20Lucia,0.36139299782381773,83723,Caribbean Flags
122,Dominica,0.396349396072502,83723,Caribbean Flags
123,Haiti,0.31780269320908033,83723,Caribbean Flags
124,Jamaica,0.2975065038909736,83723,Caribbean Flags
125,Grenada,0.31835130136283,83723,Caribbean Flags
126,Anguilla,0.32338753681388016,83723,Caribbean Flags
127,Cuba,0.43212089775823376,83723,Caribbean Flags
128,Bonaire,0.40318308552715043,83723,Caribbean Flags
129,Trinidad,0.5122444396367491,83723,Caribbean Flags
130,Aruba,0.5951419381932429,83723,Caribbean Flags
131,Martinique,0.3356018883104379,83723,Caribbean Flags
132,Bahamas,0.4425277989182139,83723,Caribbean Flags
133,St%20Kitts%20and%20Nevis,0.4953976785540446,83723,Caribbean Flags
134,Barbados,0.460661653956659,83723,Caribbean Flags
135,Montserrat,0.37792735679761946,83723,Caribbean Flags
136,St%20Lucia,0.33492675319557735,83723,Caribbean Flags
137,Dominica,0.36988315898408003,83723,Caribbean Flags
138,Haiti,0.29133644503586514,83723,Caribbean Flags
139,Jamaica,0.2710402636789451,83723,Caribbean Flags
140,Grenada,0.29188506356027427,83723,Caribbean Flags
141,Anguilla,0.29692130797615307,83723,Caribbean Flags
142,Cuba,0.40565467047498394,83723,Caribbean Flags
143,Bonaire,0.37671684063143357,83723,Caribbean Flags
144,Trinidad,0.48577818805087847,83723,Caribbean Flags
145,Aruba,0.5686757023795163,83723,Caribbean Flags
146,Martinique,0.3091356415369158,83723,Caribbean Flags
147,Bahamas,0.4160615810319373,83723,Caribbean Flags
148,St%20Kitts%20and%20Nevis,0.46893142899879625,83723,Caribbean Flags
149,Barbados,0.4341954277563634,83723,Caribbean Flags
150,Montserrat,0.5284263849228644,83661,Caribbean Flags
151,St%20Lucia,0.6551870371442394,83661,Caribbean Flags
152,Dominica,-2.360679774997898,83661,Caribbean Flags
153,Haiti,0.1695657484094502,83661,Caribbean Flags
154,Jamaica,0.2959700508138308,83661,Caribbean Flags
155,Grenada,0.3137011811513651,83661,Caribbean Flags
156,Anguilla,0.3361694860037182,83661,Caribbean Flags
157,Trinidad,0.5230035510255473,83661,Caribbean Flags
158,Bonaire,0.17458965476019422,83661,Caribbean Flags
159,Bahamas,0.9972892473116336,83661,Caribbean Flags
160,Aruba,0.23090033451373992,83661,Caribbean Flags
161,Martinique,0.2959349947780342,83661,Caribbean Flags
162,Cuba,0.34179322348364366,83661,Caribbean Flags
163,St%20Kitts%20and%20Nevis,0.42854730235837507,83661,Caribbean Flags
164,Barbados,0.30962554865892244,83661,Caribbean Flags
165,Montserrat,0.5707344850048444,83661,Caribbean Flags
166,St%20Lucia,0.697495189520178,83661,Caribbean Flags
167,Dominica,-2.360679774997898,83661,Caribbean Flags
168,Haiti,0.2118738655656104,83661,Caribbean Flags
169,Jamaica,0.3382781668385673,83661,Caribbean Flags
170,Grenada,0.3560093039508635,83661,Caribbean Flags
171,Anguilla,0.3784776115178532,83661,Caribbean Flags
172,Trinidad,0.5653116755694735,83661,Caribbean Flags
173,Bonaire,0.2168978136318219,83661,Caribbean Flags
174,Bahamas,1.0395973811870105,83661,Caribbean Flags
175,Aruba,0.2732084268763583,83661,Caribbean Flags
176,Martinique,0.33824312024415926,83661,Caribbean Flags
177,Cuba,0.38410135706771886,83661,Caribbean Flags
178,St%20Kitts%20and%20Nevis,0.47085543784082945,83661,Caribbean Flags
179,Barbados,0.3519336991417611,83661,Caribbean Flags
180,Montserrat,-2.360679774997898,83693,Caribbean Flags
181,St%20Lucia,-2.360679774997898,83693,Caribbean Flags
182,Dominica,-2.360679774997898,83693,Caribbean Flags
183,Haiti,-2.360679774997898,83693,Caribbean Flags
184,Jamaica,-2.360679774997898,83693,Caribbean Flags
185,Grenada,-2.360679774997898,83693,Caribbean Flags
186,Anguilla,-2.360679774997898,83693,Caribbean Flags
187,Bonaire,-2.360679774997898,83693,Caribbean Flags
188,Trinidad,-2.360679774997898,83693,Caribbean Flags
189,St%20Kitts%20and%20Nevis,-2.360679774997898,83693,Caribbean Flags
190,Aruba,-2.360679774997898,83693,Caribbean Flags
191,Martinique,-2.360679774997898,83693,Caribbean Flags
192,Cuba,-2.360679774997898,83693,Caribbean Flags
193,Barbados,-2.360679774997898,83693,Caribbean Flags
194,Montserrat,-1.017698528161589,83693,Caribbean Flags
