screen_name,userId,lessonTitle,factId,answer,reactionTime,sessionTime,activation,alpha,BLC,prior_knowledge
user57,83657,Asian Flags,337306,South Korea,1.004,433162,0.285379436,0.15,0.127833372,yes
user57,83657,Asian Flags,337299,India,0.951,435517,0.287557648,0.15,0.183922838,no
user57,83657,Asian Flags,337301,Maldives,1.824,439204,-0.128387806,0.235546875,0.285018955,no
user57,83657,Asian Flags,337296,Bangladesh,1.472,443382,-0.16002072,0.286328125,0.115410852,no
user57,83657,Asian Flags,337308,Taiwan,1.663,446814,-0.404805079,0.33984375,0.384192973,no
user57,83657,Asian Flags,337298,Hong Kong,1.059,451292,0.296498865,0.1578125,0.502526821,no
user57,83657,Asian Flags,337307,Sri Lanka,1.046,455479,0.332456659,0.1765625,0.270497248,no
user57,83657,Asian Flags,337309,Thailand,0.985,458124,0.29829978,0.15,0.103140759,no
user57,83657,Asian Flags,337297,China,1.019,460456,0.293697753,0.15,-0.075107472,yes
user57,83657,Asian Flags,337305,Singapore,1.44,463925,-0.132546833,0.36328125,-0.306749135,no
user57,83657,Asian Flags,337303,Philippines,2.31,469136,-0.627758288,0.434375,0.108699417,no
user57,83657,Asian Flags,337302,Nepal,0.849,471481,0.302663658,0.15,-0.392717535,yes
user57,83657,Asian Flags,337304,Saudi Arabia,1.229,475013,0.310864544,0.15078125,-1.142629174,no
user57,83657,Asian Flags,337310,Vietnam,1.602,478292,-0.002227772,0.2328125,-0.592774206,no
user57,83657,Asian Flags,337300,Japan,1.069,480697,0.262121744,0.160546875,0.016129382,yes
user57,83657,Caribbean Flags,337625,Bahamas,0.979,419125,0.145867104,0.223046875,0.15082289,no
user57,83657,Caribbean Flags,337636,St Lucia,0.778,435549,0.656126137,0.251171875,-0.363948428,yes
user57,83657,Caribbean Flags,337627,Bonaire,0.966,439772,-0.156539612,0.332421875,0.256183405,no
user57,83657,Caribbean Flags,337630,Grenada,1.067,443794,0.264867379,0.153515625,0.223143551,yes
user57,83657,Caribbean Flags,337631,Haiti,1.097,446422,0.286658196,0.1953125,0.324346057,no
user57,83657,Caribbean Flags,337634,Montserrat,1.13,449904,0.26907333,0.151953125,-0.297879897,yes
user57,83657,Caribbean Flags,337629,Dominica,1.273,453979,-0.027350968,0.257421875,0.341082849,no
user57,83657,Caribbean Flags,337626,Barbados,0.966,458028,0.341899693,0.15546875,-0.45362015,no
user57,83657,Caribbean Flags,337623,Anguilla,1.144,461085,0.085766298,0.2125,0.093212382,no
user57,83657,Caribbean Flags,337628,Cuba,1.087,463372,0.264364727,0.1625,-0.056380333,no
user57,83657,Caribbean Flags,337637,Trinidad,1.05,466595,-0.081221081,0.2375,0.313341819,yes
user57,83657,Caribbean Flags,337633,Martinique,0.885,470014,0.30751344,0.15,-0.111541375,no
user57,83657,Caribbean Flags,337635,St Nevis,1.292,474953,0.134518396,0.18515625,-0.594982932,no
user57,83657,Caribbean Flags,337624,Aruba,1.132,477514,0.303666285,0.15078125,-0.050693114,no
user57,83657,Caribbean Flags,337632,Jamaica,1.087,480633,0.227453207,0.16484375,0.107585211,no
user59,83659,Asian Flags,337310,Vietnam,1.609,437921,-0.145578014,0.30078125,-0.143234168,no
user59,83659,Asian Flags,337302,Nepal,0.795,440080,0.305774633,0.15,0.693147181,no
user59,83659,Asian Flags,337306,South Korea,1.271,443309,0.306062866,0.150390625,-1.956001913,yes
user59,83659,Asian Flags,337303,Philippines,1.157,446768,0.328305911,0.150390625,-0.151002874,no
user59,83659,Asian Flags,337300,Japan,0.736,448860,0.307243039,0.15,0.368169323,yes
user59,83659,Asian Flags,337304,Saudi Arabia,0.844,454776,0.504723453,0.163671875,-0.529451088,no
user59,83659,Asian Flags,337305,Singapore,1.207,458006,0.112739133,0.241015625,-1.584325212,no
user59,83659,Asian Flags,337309,Thailand,0.816,460486,0.363400082,0.15,0.64055473,no
user59,83659,Asian Flags,337299,India,0.821,462619,0.323796757,0.15,-1.653646167,no
user59,83659,Asian Flags,337298,Hong Kong,0.895,465330,0.352294522,0.15,-0.292669614,no
user59,83659,Asian Flags,337307,Sri Lanka,0.872,468133,0.41189638,0.15,-1.610037733,no
user59,83659,Asian Flags,337308,Taiwan,1.233,471368,0.044890486,0.3234375,-1.25902901,no
user59,83659,Asian Flags,337297,China,1.552,474167,0.272095461,0.1640625,-1.591884753,yes
user59,83659,Asian Flags,337301,Maldives,1.005,477372,0.357679514,0.15078125,-0.530039843,no
user59,83659,Asian Flags,337296,Bangladesh,1.041,482815,0.36537731,0.15625,-1.116452207,no
user59,83659,Caribbean Flags,337637,Trinidad,1.287,437970,0.101706857,0.301953125,-1.082482907,no
user59,83659,Caribbean Flags,337623,Anguilla,1.468,441209,-0.17021914,0.256640625,0.153151179,no
user59,83659,Caribbean Flags,337624,Aruba,1.403,444083,-0.061508762,0.299609375,-0.687129108,no
user59,83659,Caribbean Flags,337634,Montserrat,0.935,446992,0.092869301,0.246875,-0.865418402,no
user59,83659,Caribbean Flags,337633,Martinique,0.863,450309,0.272456065,0.15,-0.722220428,no
user59,83659,Caribbean Flags,337629,Dominica,0.99,453769,0.036791429,0.325,2.111964733,no
user59,83659,Caribbean Flags,337625,Bahamas,1.589,457026,0.247490476,0.18984375,-0.418710335,no
user59,83659,Caribbean Flags,337635,St Nevis,1.573,462692,-0.004345888,0.216015625,-0.289680075,no
user59,83659,Caribbean Flags,337626,Barbados,0.821,465989,0.362173314,0.15,-1.21846725,no
user59,83659,Caribbean Flags,337636,St Lucia,0.809,469170,0.453415588,0.15390625,-0.31918074,no
user59,83659,Caribbean Flags,337630,Grenada,0.813,471594,0.36109152,0.194140625,0.235722334,no
user59,83659,Caribbean Flags,337628,Cuba,0.872,473692,0.276927641,0.201953125,-0.539413081,no
user59,83659,Caribbean Flags,337627,Bonaire,0.951,476059,0.429119444,0.180078125,0.270497248,no
user59,83659,Caribbean Flags,337631,Haiti,0.811,478279,0.315474159,0.15,-0.235862324,no
user59,83659,Caribbean Flags,337632,Jamaica,0.885,480845,0.492833174,0.2,-0.281412459,no
user64,83664,Asian Flags,337304,Saudi Arabia,1.421,114926,-0.567778593,0.250390625,-1.311840175,no
user64,83664,Asian Flags,337300,Japan,1.396,118414,-0.558566612,0.250390625,-0.95628038,yes
user64,83664,Asian Flags,337296,Bangladesh,2.981,386971,-0.838424326,0.37890625,-1.678590771,no
user64,83664,Asian Flags,337299,India,1.124,399524,-0.526288669,0.20078125,-1.374980601,no
user64,83664,Asian Flags,337310,Vietnam,2.118,405761,-0.591791723,0.21171875,-0.203756838,no
user64,83664,Asian Flags,337307,Sri Lanka,2.266,410901,-0.675344947,0.274609375,-0.175632569,no
user64,83664,Asian Flags,337305,Singapore,3.065,441648,-0.863961233,0.510546875,-0.403463105,no
user64,83664,Asian Flags,337309,Thailand,3.586,453077,-0.959302523,0.41796875,-0.440188544,no
user64,83664,Asian Flags,337308,Taiwan,1.464,457332,-1.103501073,0.467578125,-1.520388096,no
user64,83664,Asian Flags,337303,Philippines,3.642,464929,-0.948362903,0.541015625,-0.218331994,no
user64,83664,Asian Flags,337301,Maldives,1.941,469281,-1.085385665,0.474609375,-0.022739487,no
user64,83664,Asian Flags,337298,Hong Kong,1.26,474114,-0.829656865,0.417578125,-0.807814256,no
user64,83664,Asian Flags,337306,South Korea,1.26,478889,-0.560995036,0.250390625,-0.287432041,no
user64,83664,Asian Flags,337302,Nepal,2.142,486932,-0.968258189,0.535546875,-0.574363645,no
user64,83664,Caribbean Flags,337632,Jamaica,1.685,162650,-0.578270245,0.250390625,-1.306168317,yes
user64,83664,Caribbean Flags,337624,Aruba,1.219,229565,-0.675147697,0.250390625,-1.262996145,no
user64,83664,Caribbean Flags,337626,Barbados,1.645,335853,-0.586780209,0.3015625,-0.528272537,no
user64,83664,Caribbean Flags,337637,Trinidad,2.28,393863,-0.683196702,0.271484375,-0.569848964,no
user64,83664,Caribbean Flags,337630,Grenada,2.21,412468,-0.875534496,0.51015625,-0.235862324,no
user64,83664,Caribbean Flags,337634,Montserrat,2.224,417033,-1.138618204,0.57265625,-0.74098451,no
user64,83664,Caribbean Flags,337635,St Nevis,1.668,441280,-0.705526841,0.3,-0.814479466,no
user64,83664,Caribbean Flags,337627,Bonaire,2.381,457888,-0.966202262,0.3,0.041864204,no
user64,83664,Caribbean Flags,337623,Anguilla,1.772,464767,-1.110596143,0.480078125,-0.286681572,no
user64,83664,Caribbean Flags,337633,Martinique,2.181,469890,-1.137053336,0.467578125,-0.044016885,no
user64,83664,Caribbean Flags,337625,Bahamas,1.376,472347,-0.874816083,0.473046875,-0.689641041,no
user64,83664,Caribbean Flags,337631,Haiti,1.29,475014,-0.764778185,0.479296875,-0.826803565,no
user64,83664,Caribbean Flags,337629,Dominica,6.096,483487,-1.149184233,0.516796875,-0.774266232,no
user61,83661,Asian Flags,337296,Bangladesh,1.055,441190,0.359076111,0.157421875,0.401971219,yes
user61,83661,Asian Flags,337303,Philippines,0.894,444119,0.403420683,0.15,0.30788478,no
user61,83661,Asian Flags,337300,Japan,0.875,446336,0.394594195,0.15,0.029428811,yes
user61,83661,Asian Flags,337299,India,0.777,448437,0.393338402,0.15,0.373966441,yes
user61,83661,Asian Flags,337305,Singapore,0.747,450842,0.375858687,0.15,0.62735944,yes
user61,83661,Asian Flags,337306,South Korea,0.743,453422,0.380288713,0.15,-0.15956457,yes
user61,83661,Asian Flags,337307,Sri Lanka,0.827,456073,0.412839828,0.15,-0.122217633,no
user61,83661,Asian Flags,337301,Maldives,0.917,458673,0.327102704,0.191796875,0.219400565,no
user61,83661,Asian Flags,337310,Vietnam,1.038,462898,0.411021789,0.151953125,0.114289146,no
user61,83661,Asian Flags,337302,Nepal,0.875,465143,0.592767328,0.166796875,0.041864204,yes
user61,83661,Asian Flags,337309,Thailand,1.153,468999,0.303753864,0.180859375,-0.143234168,yes
user61,83661,Asian Flags,337308,Taiwan,0.777,471782,0.409266951,0.15,-0.470628434,yes
user61,83661,Asian Flags,337298,Hong Kong,0.849,474545,0.427246738,0.15,-0.69214668,yes
user61,83661,Asian Flags,337297,China,1.168,476982,0.413104103,0.150390625,0.058688996,yes
user61,83661,Asian Flags,337304,Saudi Arabia,0.931,480224,0.414668827,0.15,0.074723546,yes
user61,83661,Caribbean Flags,337625,Bahamas,2.343,401057,-0.545557007,0.336328125,-0.742889272,no
user61,83661,Caribbean Flags,337636,St Lucia,3.55,406154,0.03340325,0.222265625,0.245900538,no
user61,83661,Caribbean Flags,337623,Anguilla,1.595,409530,-0.382679634,0.408984375,0.553385238,no
user61,83661,Caribbean Flags,337624,Aruba,1.186,412533,-0.256266487,0.380078125,0.079043207,no
user61,83661,Caribbean Flags,337627,Bonaire,1.426,415632,-0.117717685,0.33125,-0.027615167,no
user61,83661,Caribbean Flags,337628,Cuba,0.838,417986,0.290068061,0.15,0.393042588,yes
user61,83661,Caribbean Flags,337635,St Nevis,1.238,422011,0.281400276,0.1515625,0.277071893,yes
user61,83661,Caribbean Flags,337631,Haiti,0.51,443274,1.195058942,0.17890625,-0.426574071,no
user61,83661,Caribbean Flags,337632,Jamaica,0.972,445835,0.242565041,0.15,0.397496938,yes
user61,83661,Caribbean Flags,337633,Martinique,1.111,449026,0.187356548,0.167578125,0.263965546,no
user61,83661,Caribbean Flags,337630,Grenada,0.981,452105,0.300171491,0.15,-0.2390169,no
user61,83661,Caribbean Flags,337626,Barbados,1.497,455707,0.160975876,0.21328125,0.074723546,no
user61,83661,Caribbean Flags,337637,Trinidad,2.303,461106,-0.007252568,0.201953125,-0.443402947,yes
user61,83661,Caribbean Flags,337634,Montserrat,1.502,464683,0.054521153,0.199609375,-0.694146681,no
user61,83661,Caribbean Flags,337629,Dominica,0.813,480050,0.767380185,0.21875,0.187535124,no
user73,83678,Asian Flags,337308,Taiwan,0.954,439045,0.445937314,0.150390625,-0.009950331,yes
user73,83678,Asian Flags,337304,Saudi Arabia,0.837,443101,0.376154071,0.15,-0.451712359,yes
user73,83678,Asian Flags,337303,Philippines,1.06,446949,0.372679701,0.150390625,-0.945461109,yes
user73,83678,Asian Flags,337299,India,0.75,449067,0.356708124,0.15,-1.370419012,yes
user73,83678,Asian Flags,337307,Sri Lanka,0.922,452254,0.387814891,0.15,0.52087596,no
user73,83678,Asian Flags,337296,Bangladesh,0.912,455809,0.398583028,0.15,0.558616288,no
user73,83678,Asian Flags,337302,Nepal,0.909,458210,0.387765852,0.15,0.110931561,no
user73,83678,Asian Flags,337309,Thailand,0.817,461034,0.401307218,0.15,0.316081547,no
